"","rango","sexo","poblacion"
"1","0–10","Men",340
"2","11–20","Men",196
"3","21–30","Men",202
"4","31–40","Men",338
"5","41–50","Men",984
"6","51–60","Men",2187
"7","61–70","Men",4097
"8","71–80","Men",6458
"9","81–90","Men",5149
"10","91–99","Men",813
"11","0–10","Woman",258
"12","11–20","Woman",130
"13","21–30","Woman",126
"14","31–40","Woman",236
"15","41–50","Woman",608
"16","51–60","Woman",1361
"17","61–70","Woman",2444
"18","71–80","Woman",3948
"19","81–90","Woman",4022
"20","91–99","Woman",1065
